pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
5	2.0	62.0	4.0	40.0	17.0	1.0	1
6	1.0	78.0	6.0	60.0	11.0	1.0	1
7	1.0	78.0	6.0	60.0	11.0	1.0	2
8	1.0	98.0	8.0	80.0	5.0	5.0	2
9	1.0	98.0	8.0	80.0	5.0	5.0	2
10	1.0	115.4	10.0	100.0	5.0	0.4	10
11	1.0	118.0	10.0	100.0	5.0	3.0	2
12	1.0	138.0	12.0	120.0	6.0	0.0	2
13	1.0	138.0	12.0	120.0	6.0	0.0	2
14	1.0	165.0	14.0	140.0	5.0	6.0	2
20	1.0	231.0	20.0	200.0	5.0	6.0	1
25	1.0	272.8	24.0	240.0	5.0	3.8	10
30	1.0	283.0	30.0	248.2	4.0	0.8	10
35	1.0	326.8	34.0	280.2	4.0	8.6	10
40	1.0	449.0	40.0	400.0	7.0	2.0	10
